Timestamp,X_Coordinate,Y_Coordinate,Slope_Angle_Degrees,Bench_Height_Meters,Joint_Density_per_sqm,Seismic_Vibration_mm_s,Blasting_Proximity_Meters,Displacement_mm_24hrs,Rainfall_mm_past_24hrs,Temperature_C,Risk_Score_0_10,Rock_Type_Category,Alert_Status
2024-01-01 00:00:00,618.6770104386292,935.1020156638779,50.6,15.0,5.14,1.83,197.0,1.29,0.59,26.6,5.08,Shale,0
2024-01-01 01:00:00,707.9962976462917,733.0137080295939,82.3,19.9,3.73,0.98,74.0,0.06,0.78,15.7,4.55,Sandstone,0
2024-01-01 02:00:00,412.1701562930505,242.62841221916784,70.3,16.3,7.72,2.06,471.0,1.11,0.88,6.2,5.76,Granite,0
2024-01-01 03:00:00,203.0083703616825,191.98636216340446,62.9,6.7,1.83,0.84,104.0,0.43,1.24,6.5,3.73,Granite,0
2024-01-01 04:00:00,582.7725698182547,736.3863975559202,38.6,8.7,4.74,2.2,366.0,0.97,0.77,43.1,4.7,Limestone,0
2024-01-01 05:00:00,570.316919596223,589.6433470619504,38.6,9.4,5.63,1.31,291.0,0.34,1.02,39.7,4.96,Basalt,0
2024-01-01 06:00:00,816.2382601829455,793.2988601525403,33.2,10.2,6.62,1.43,299.0,0.54,0.89,14.5,4.1,Shale,0
2024-01-01 07:00:00,272.1006122732847,386.30075142449203,77.6,16.3,3.32,0.82,97.0,0.27,0.6,12.8,3.67,Limestone,0
2024-01-01 08:00:00,864.4389438089976,350.20302994556664,63.1,15.1,5.53,1.64,159.0,0.99,0.77,17.1,6.08,Limestone,0
2024-01-01 09:00:00,811.8977715364214,302.89356156869303,68.9,9.1,2.5,1.66,401.0,0.19,0.83,27.9,3.87,Sandstone,0
2024-01-01 10:00:00,755.2336989625782,156.83107540047268,31.1,6.4,3.54,1.07,259.0,1.03,0.66,5.7,3.65,Shale,0
2024-01-01 11:00:00,264.774790096739,286.46921819668023,83.3,8.4,7.18,0.52,256.0,0.44,0.59,40.7,5.65,Granite,0
2024-01-01 12:00:00,388.58541945868507,672.0488939571591,75.8,24.7,7.6,0.78,296.0,0.78,0.91,36.0,6.22,Shale,0
2024-01-01 13:00:00,476.68423301593185,354.2794701123057,41.7,14.4,5.78,0.78,245.0,0.13,1.88,26.1,3.96,Sandstone,0
2024-01-01 14:00:00,100.3802617390739,385.29498364096906,40.0,22.3,3.06,1.46,413.0,0.56,1.13,39.6,2.98,Shale,0
2024-01-01 15:00:00,279.7369077214714,281.02179736591825,40.1,22.0,6.58,1.01,387.0,0.63,0.25,26.9,4.2,Basalt,0
2024-01-01 16:00:00,697.4532259677973,533.1270072453077,46.7,15.2,0.3,1.02,193.0,2.35,2.02,8.5,3.97,Shale,0
2024-01-01 17:00:00,617.5441965663185,575.8809443868261,58.9,19.1,0.91,0.97,415.0,0.74,0.86,27.3,2.69,Sandstone,0
2024-01-01 18:00:00,951.435471937853,977.3600164599698,53.8,8.9,5.32,2.2,283.0,0.2,2.51,24.2,5.77,Limestone,0
2024-01-01 19:00:00,252.5847109009823,541.0990034909516,46.0,18.8,2.4,1.24,332.0,0.2,1.83,32.8,3.87,Granite,0
2024-01-01 20:00:00,565.7365619605525,731.6558654191681,63.7,10.4,7.62,1.32,440.0,0.79,1.05,18.8,6.01,Shale,0
2024-01-01 21:00:00,117.97319230627605,561.6085000779699,37.7,21.6,3.54,0.95,264.0,0.21,1.11,19.4,3.32,Basalt,0
2024-01-01 22:00:00,623.9611910320746,909.041439254434,46.1,6.7,3.49,1.21,390.0,0.22,0.69,42.7,2.59,Basalt,0
2024-01-01 23:00:00,194.85305541856542,399.11105599114563,50.1,20.5,5.46,0.83,333.0,0.16,1.69,41.8,4.9,Sandstone,0
2024-01-02 00:00:00,180.2229802010616,720.7506445123576,55.1,7.0,6.16,1.4,242.0,0.42,2.74,41.0,4.44,Sandstone,0
2024-01-02 01:00:00,495.97687500362775,375.2542637289302,73.2,22.6,3.86,0.77,405.0,0.46,0.85,21.6,3.62,Granite,0
